rank_low_error,name,layer,family,elements,sse,bss,mse,rel_sse,seconds
1,blk.64.attn_output.weight,64,attn_output,31457280,8.98863697052002,11400.822265625,2.857410739428209e-07,0.0007884200596321863,0.3222649097442627
2,blk.0.attn_qkv.weight,0,attn_qkv,52428800,9.879450798034668,11944.705078125,1.8843556972569787e-07,0.0008270987632944955,0.4951496124267578
3,blk.60.attn_qkv.weight,60,attn_qkv,52428800,12.534388542175293,14955.8779296875,2.390744884905871e-07,0.0008380911238446567,0.481905460357666
4,blk.23.attn_output.weight,23,attn_output,31457280,6.0923051834106445,7243.263671875,1.9366916603758e-07,0.0008410994628107447,0.3087608814239502
5,blk.19.attn_output.weight,19,attn_output,31457280,6.189690589904785,7343.9501953125,1.967649647364548e-07,0.0008428285085396608,0.3057112693786621
6,blk.59.attn_output.weight,59,attn_output,31457280,9.213887214660645,10912.3076171875,2.9290158636285924e-07,0.0008443573566555485,0.31311774253845215
7,blk.15.attn_output.weight,15,attn_output,31457280,5.766589164733887,6816.611328125,1.8331493265577591e-07,0.0008459612683124863,0.3141441345214844
8,blk.27.attn_output.weight,27,attn_output,31457280,5.8924946784973145,6957.794921875,1.8731736114811308e-07,0.0008468911120061288,0.2989637851715088
9,blk.31.attn_output.weight,31,attn_output,31457280,5.9788408279418945,7047.583984375,1.900622313163088e-07,0.0008483532571158306,0.3070409297943115
10,blk.35.attn_output.weight,35,attn_output,31457280,6.583831310272217,7737.4384765625,2.0929436080526406e-07,0.0008509058043195202,0.30374908447265625
11,blk.58.attn_qkv.weight,58,attn_qkv,52428800,11.900843620300293,13981.6708984375,2.2699057808495127e-07,0.0008511746347591584,0.48555684089660645
12,blk.56.attn_qkv.weight,56,attn_qkv,52428800,12.122617721557617,14240.306640625,2.3122058337321505e-07,0.0008512890928186896,0.4811735153198242
13,blk.39.attn_output.weight,39,attn_output,31457280,6.266218662261963,7359.48046875,1.9919772663949213e-07,0.0008514485076588936,0.30576372146606445
14,blk.57.attn_qkv.weight,57,attn_qkv,52428800,12.275449752807617,14393.7236328125,2.341356230317615e-07,0.000852833503404499,0.4711744785308838
15,blk.62.attn_qkv.weight,62,attn_qkv,52428800,11.826593399047852,13857.150390625,2.2557436750503258e-07,0.0008534650390349438,0.4902803897857666
16,blk.4.attn_qkv.weight,4,attn_qkv,52428800,10.582416534423828,12353.24609375,2.0184357708785682e-07,0.0008566506693149985,0.46864771842956543
